,Unnamed: 0,ID,label,strategy,augmented_strategy,H_yx,predicted_label_null_x,correct_yx,H_yb,predicted_label_null_y,correct_yb,PVI
0,0,840,1,House guests - I like to have people over that include our son and get along well with him.,Guests over my house - I like to have people over that include our son and get along well with him.,2.222863903,4,False,2.396652674106508,0,False,0.173788771106508
1,1,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to invite people over that include our son and get along well with him.,1.992119989,4,False,2.396652674106508,0,False,0.4045326851065078
2,2,840,1,House guests - I like to have people over that include our son and get along well with him.,Having house guests - I like to have people over that include our son and get along well with him.,1.968110712,0,False,2.396652674106508,0,False,0.4285419621065078
3,3,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include our sons and get along well with him.,2.144035623,4,False,2.396652674106508,0,False,0.2526170511065078
4,4,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include our son and get along well with him.,2.15651632,4,False,2.396652674106508,0,False,0.2401363541065078
5,5,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include and get along well with our son.,2.276884778,4,False,2.396652674106508,0,False,0.119767896106508
6,6,840,1,House guests - I like to have people over that include our son and get along well with him.,Like to have people over that include our son and get along well with him.,1.858412172,0,False,2.396652674106508,0,False,0.538240502106508
7,7,840,1,House guests - I like to have people over that include our son and get along well with him.,"You know, I like to have people over that include our son and get along well with him.",2.463671551,4,False,2.396652674106508,0,False,-0.067018876893492
8,8,840,1,House guests - I like to have people over that include our son and get along well with him.,House guests - I like to have people over that are nice and get along well with our son.,2.10747812,4,False,2.396652674106508,0,False,0.2891745541065078
9,9,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron so he can help us with the measuring and pouring.,1.479367653,1,True,2.396652674106508,0,False,0.917285021106508
10,10,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so he can help us measure and pour.,1.460113497,1,True,2.396652674106508,0,False,0.936539177106508
11,11,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out apron and stool so he can help us with measuring and pouring.,1.535478554,1,True,2.396652674106508,0,False,0.861174120106508
12,12,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so he can help us with measuring and pouring our ingredients instead.,1.495685433,1,True,2.396652674106508,0,False,0.900967241106508
